package_name,ecosystem,repository_url,license,license_type,is_permissive,repository_age_years,days_since_last_release,releases_count,release_cadence_annual,maintainers_count,contributors_count,total_commits,top_contributor_commits,top_2_contributor_commits,top_contributor_share,top_2_contributor_share,contributor_gini,bus_factor_approx,stars_count,forks_count,subscribers_count,total_issues,open_issues,closed_issues,issue_resolution_ratio,open_issue_ratio,dependencies_count,dev_dependencies_count,downloads_monthly,log_downloads_monthly,dependents_count,log_dependents,blast_radius_score,impact_tier,is_deprecated,has_test_script,risk_class
mock,pypi,https://github.com/testing-cabal/mock,BSD-3-Clause,Permissive,1,17.95,569.5,40,2.23,1,40,680,227,322,0.3338,0.4735,0.6844,11,1500,250,55,405,85,320,0.7901,0.2099,6,0,35000000.0,7.5441,125.0,2.1004,60.7,Critical,0,1,Abandonment-Imminent
distutils2,pypi,https://github.com/tarekziade/distutils2,PSF-2.0,Permissive,1,16.38,5307.3,4,0.24,1,12,350,142,202,0.4057,0.5771,0.5419,5,150,40,25,190,80,110,0.5789,0.4211,0,0,150000.0,5.1761,20.0,1.3222,36.33,Medium,0,1,Abandonment-Imminent
functools32,pypi,https://github.com/MiCHaEL-K/functools32,PSF-2.0,Permissive,1,14.01,4092.9,3,0.21,1,8,120,54,76,0.45,0.6333,0.4771,4,140,35,12,63,18,45,0.7143,0.2857,0,0,15000000.0,7.1761,17.0,1.2553,49.31,High,0,1,Abandonment-Imminent
urllib3,pypi,https://github.com/urllib3/urllib3,MIT,Permissive,1,16.78,8.2,109,6.5,1,350,3800,1028,1463,0.2705,0.385,0.8309,34,4100,1200,140,2685,85,2600,0.9683,0.0317,5,0,750000000.0,8.8751,600.0,2.7789,76.93,Critical,0,1,Healthy
tornado,pypi,https://github.com/tornadoweb/tornado,Apache-2.0,Permissive,1,16.35,1.9,87,5.32,1,420,4500,1196,1706,0.2658,0.3791,0.8369,38,21500,5600,1100,3220,120,3100,0.9627,0.0373,0,0,55000000.0,7.7404,2800.0,3.4473,76.18,Critical,0,1,Healthy
cherrypy,pypi,https://github.com/cherrypy/cherrypy,BSD-3-Clause,Permissive,1,20.77,831.4,121,5.83,1,120,3800,1125,1597,0.2961,0.4203,0.7742,20,2100,390,95,1890,140,1750,0.9259,0.0741,27,0,4500000.0,6.6532,195.0,2.2923,56.62,High,0,1,Abandonment-Imminent
enum34,pypi,https://github.com/al45tair/enum34,BSD-3-Clause,Permissive,1,13.27,2388.3,30,2.26,1,10,160,68,96,0.425,0.6,0.515,5,190,45,15,90,25,65,0.7222,0.2778,0,0,18000000.0,7.2553,22.0,1.3617,50.97,High,0,1,Abandonment-Imminent
twisted,pypi,https://github.com/twisted/twisted,MIT,Permissive,1,20.95,135.5,111,5.3,1,320,35000,9589,13621,0.274,0.3892,0.8316,32,5600,1600,280,10150,650,9500,0.936,0.064,150,0,28000000.0,7.4472,800.0,2.9036,68.47,Critical,0,1,Healthy
bottle,pypi,https://github.com/bottlepy/bottle,MIT,Permissive,1,17.22,465.6,85,4.94,1,180,1900,544,772,0.2863,0.4063,0.8011,25,8200,1500,380,1360,110,1250,0.9191,0.0809,0,0,6500000.0,6.8129,750.0,2.8756,63.83,Critical,0,1,Abandonment-Imminent
pastedeploy,pypi,https://github.com/Pylons/pastedeploy,MIT,Permissive,1,21.09,1037.8,25,1.19,1,20,350,130,184,0.3714,0.5257,0.612,7,250,80,20,170,30,140,0.8235,0.1765,7,0,8500000.0,6.9294,40.0,1.6128,51.38,High,0,1,Abandonment-Imminent
asyncio,pypi,https://github.com/python/asyncio,Apache-2.0,Permissive,1,12.92,414.9,8,0.62,1,60,950,303,429,0.3189,0.4516,0.7206,14,1400,320,85,525,45,480,0.9143,0.0857,0,0,45000000.0,7.6532,160.0,2.2068,62.56,Critical,0,1,Abandonment-Imminent
gevent,pypi,https://github.com/gevent/gevent,MIT,Permissive,1,17.18,7.2,99,5.76,1,190,4800,1367,1941,0.2848,0.4044,0.8041,25,5800,1100,250,2010,160,1850,0.9204,0.0796,23,0,35000000.0,7.5441,550.0,2.7412,67.43,Critical,0,1,Healthy
webob,pypi,https://github.com/Pylons/webob,MIT,Permissive,1,19.1,52.7,75,3.93,1,50,1800,581,826,0.3228,0.4589,0.7042,13,650,180,45,585,65,520,0.8889,0.1111,8,0,15000000.0,7.1761,90.0,1.959,56.7,High,0,1,Healthy
